Frame Number, Receipt Time, Data Delivered, Data Synchronized, Data Processed, Delivered To DataStream, Network Transmission
1639172, 619250775.735500, 0.003233, 0.000156, 0.001215, 0.000120, 0.000071
1639173, 619250781.251400, 0.003383, 0.000395, 0.001334, 0.000111, 0.000071
1639174, 619250786.091400, 0.003420, 0.000453, 0.001104, 0.000102, 0.000071
1639175, 619250791.103600, 0.003384, 0.000376, 0.001206, 0.000114, 0.000073
1639176, 619250796.178100, 0.003409, 0.000385, 0.001268, 0.000102, 0.000073
1639177, 619250801.205300, 0.003433, 0.000440, 0.001213, 0.000108, 0.000073
1639178, 619250805.734700, 0.003240, 0.000163, 0.001207, 0.000115, 0.000073
1639179, 619250810.927000, 0.003264, 0.000193, 0.001333, 0.000114, 0.000075
1639180, 619250816.137400, 0.003415, 0.000409, 0.001189, 0.000111, 0.000075
1639181, 619250821.008100, 0.003242, 0.000177, 0.001454, 0.000121, 0.000077
1639182, 619250825.948200, 0.003225, 0.000177, 0.001414, 0.000110, 0.000077
1639183, 619250831.274800, 0.003380, 0.000373, 0.001399, 0.000106, 0.000076
1639184, 619250836.393500, 0.003418, 0.000389, 0.001480, 0.000103, 0.000076
1639185, 619250840.879600, 0.003236, 0.000201, 0.001300, 0.000129, 0.000070
1639186, 619250846.306400, 0.003361, 0.000395, 0.001427, 0.000103, 0.000070
1639187, 619250851.158500, 0.003365, 0.000375, 0.001302, 0.000104, 0.000070
1639188, 619250856.240400, 0.003353, 0.000218, 0.001531, 0.000120, 0.000070
1639189, 619250861.183600, 0.003387, 0.000397, 0.001271, 0.000111, 0.000072
1639190, 619250866.069300, 0.003405, 0.000396, 0.001174, 0.000102, 0.000072
1639191, 619250870.973300, 0.003261, 0.000173, 0.001424, 0.000111, 0.000071
1639192, 619250876.160200, 0.003311, 0.000400, 0.001328, 0.000106, 0.000071
1639193, 619250881.236500, 0.003359, 0.000370, 0.001402, 0.000097, 0.000073
1639194, 619250885.790000, 0.003240, 0.000155, 0.001218, 0.000108, 0.000073
1639195, 619250890.858300, 0.003213, 0.000176, 0.001326, 0.000110, 0.000074
1639196, 619250895.710600, 0.003226, 0.000173, 0.001186, 0.000114, 0.000074
1639197, 619250901.382100, 0.003355, 0.000415, 0.001397, 0.000169, 0.000073
1639198, 619250906.059500, 0.003253, 0.000191, 0.001442, 0.000127, 0.000073
1639199, 619250911.196800, 0.003375, 0.000381, 0.001286, 0.000137, 0.000072
1639200, 619250915.799800, 0.003238, 0.000166, 0.001282, 0.000110, 0.000072
1639201, 619250920.957200, 0.003243, 0.000194, 0.001380, 0.000119, 0.000073
1639202, 619250925.994300, 0.003270, 0.000204, 0.001391, 0.000112, 0.000073
1639203, 619250931.078000, 0.003402, 0.000277, 0.001187, 0.000174, 0.000073
1639204, 619250935.958400, 0.003243, 0.000190, 0.001384, 0.000120, 0.000073
1639205, 619250941.311800, 0.003383, 0.000392, 0.001401, 0.000116, 0.000076
1639206, 619250946.090600, 0.003416, 0.000398, 0.001179, 0.000102, 0.000076
1639207, 619250950.844100, 0.003244, 0.000160, 0.001328, 0.000115, 0.000076
1639208, 619250956.060900, 0.003324, 0.000282, 0.001279, 0.000105, 0.000076
1639209, 619250961.171300, 0.003414, 0.000405, 0.001257, 0.000099, 0.000075
1639210, 619250965.714200, 0.003244, 0.000173, 0.001190, 0.000114, 0.000075
1639211, 619250971.102500, 0.003408, 0.000375, 0.001188, 0.000110, 0.000075
1639212, 619250976.138400, 0.003370, 0.000384, 0.001282, 0.000105, 0.000075
1639213, 619250981.550800, 0.003402, 0.000472, 0.001561, 0.000108, 0.000075
1639214, 619250986.564300, 0.003314, 0.000415, 0.001638, 0.000167, 0.000075
1639215, 619250991.154100, 0.003416, 0.000395, 0.001234, 0.000105, 0.000071
1639216, 619250996.323300, 0.003445, 0.000381, 0.001355, 0.000132, 0.000071
1639217, 619251001.288900, 0.003402, 0.000394, 0.001371, 0.000111, 0.000072
1639218, 619251005.815500, 0.003231, 0.000151, 0.001315, 0.000113, 0.000072
1639219, 619251010.890600, 0.003227, 0.000155, 0.001383, 0.000112, 0.000071
1639220, 619251015.888200, 0.003239, 0.000163, 0.001356, 0.000111, 0.000071
1639221, 619251021.202000, 0.003409, 0.000414, 0.001255, 0.000113, 0.000069
1639222, 619251025.951400, 0.003261, 0.000154, 0.001426, 0.000108, 0.000069
1639223, 619251031.134600, 0.003487, 0.000187, 0.001311, 0.000124, 0.000070
1639224, 619251036.098500, 0.003352, 0.000379, 0.001245, 0.000102, 0.000070
1639225, 619251041.035200, 0.003344, 0.000366, 0.001214, 0.000098, 0.000069
1639226, 619251045.824600, 0.003284, 0.000180, 0.001238, 0.000115, 0.000069
1639227, 619251051.156800, 0.003373, 0.000383, 0.001292, 0.000104, 0.000071
1639228, 619251055.774900, 0.003245, 0.000170, 0.001260, 0.000102, 0.000071
1639229, 619251061.182300, 0.003431, 0.000374, 0.001262, 0.000107, 0.000070
1639230, 619251066.117800, 0.003412, 0.000390, 0.001221, 0.000102, 0.000070
1639231, 619251071.135100, 0.003421, 0.000469, 0.001148, 0.000104, 0.000069
1639232, 619251075.764900, 0.003240, 0.000162, 0.001256, 0.000107, 0.000069
1639233, 619251081.021000, 0.003374, 0.000288, 0.001245, 0.000105, 0.000068
1639234, 619251086.009000, 0.003378, 0.000403, 0.001139, 0.000097, 0.000068
1639235, 619251090.722800, 0.003241, 0.000171, 0.001206, 0.000107, 0.000077
1639236, 619251096.404300, 0.003407, 0.000420, 0.001422, 0.000140, 0.000077
1639237, 619251101.140400, 0.003407, 0.000388, 0.001237, 0.000107, 0.000079
1639238, 619251105.851800, 0.003237, 0.000157, 0.001334, 0.000112, 0.000079
1639239, 619251111.213000, 0.003475, 0.000332, 0.001272, 0.000114, 0.000081
1639240, 619251115.958400, 0.003415, 0.000274, 0.001161, 0.000106, 0.000081
